"id","group","function","status","evidence","limit"
"N01","Navigation","Home and primary navigation","PASS","live-20260924;C01-C03","Observed desktop navigation"
"N02","Navigation","Desktop layout at 1366x768","PASS","C01-C03;E06","Sampled pages only"
"N03","Navigation","Mobile layout at 390x844","PARTIAL","C10;E06","Search reader report sampled; not all views or keyboard paths"
"N04","Navigation","Privacy and terms pages","PASS","live-20260925-public","Two public information pages loaded"
"S01","Search","Exact document-number lookup","PASS","live-20260925-search;C02","One known statute 45/2019/QH14"
"S02","Search","Title or broad topic lookup","PARTIAL","C01","Title-number scope and 20-result cap; body unavailable"
"S03","Search","Displayed document-type filter","PASS","F06-postdeploy","Known law and circular retested after fix"
"S04","Search","Issuing-authority filter","PASS","C18","One known record"
"S05","Search","Issue-date filters and sort","PASS","live-20260925-search-date-and-sort","Date inclusion/exclusion plus newest and oldest ordering sampled on broad Bộ luật query; first five visible dates checked"
"S06","Search","Empty result","PASS","C17","One implausible number"
"S07","Search","Pagination beyond 20 results","FAIL","live-20260925-broad-metadata-search","Production returns 20 matches for Bộ luật with no next-page control; local fix implemented but not deployed"
"S08","Search","Article and body full-text search","FAIL","live-20260925-search","Production explicitly says content index unavailable"
"R01","Reader","Structural table of contents and section jump","PASS","live-20260925-reader;C10","One statute with 237 sections"
"R02","Reader","Official source and exact section text","PASS","C10","One article cross-checked against official PDF"
"R03","Reader","Pin a section into workspace","NOT_TESTED","UI-20260925","Control visible; no submitted pin"
"R04","Reader","Document legal-status label","PARTIAL","live-20260925-search;live-20260925-status","Unknown shown honestly; no published events"
"C01","Chat","Document-scoped answer","PARTIAL","C10","85-percent conclusion correct; direct citation mapping 1 of 5 displayed claims"
"C02","Chat","General full-corpus question","NOT_TESTED","UI-20260925","No new general chat run"
"C03","Chat","Reopen saved session after reload","PASS","C10","One session"
"C04","Chat","Submit feedback","NOT_TESTED","UI-20260925","No new feedback submitted"
"C05","Chat","Rename or export session","NOT_TESTED","UI-20260925","Controls visible; content not inspected"
"C06","Chat","Delete session","NOT_TESTED","route-inventory","No deletion performed"
"C07","Chat","Create session through chat","PASS","C10","One document-scoped chat produced a reopenable session"
"W01","Workspace","Create workspace","PASS","C03","One audit workspace"
"W02","Workspace","Selected evidence persists across tabs","PASS","C05;E07","Two evidence IDs"
"W03","Workspace","Isolation of two workspaces within account","PASS","C14","Zero evidence documents reports in second workspace"
"W04","Workspace","Edit workspace metadata","NOT_TESTED","UI-20260925","Control visible only"
"W05","Workspace","Expiration and deletion","NOT_TESTED","route-inventory","No expiry or deletion run"
"O01","Official source","AI keyword research plan","PASS","C03","Five editable suggestions"
"O02","Official source","Discover relevant official record","PARTIAL","C03","Official labor code found alongside unrelated metadata hits"
"O03","Official source","Read official PDF with extracted text","PASS","C03;F01-postdeploy","12 of 94 pages sampled"
"O04","Official source","Continue PDF in bounded page groups","PASS","C03","Three groups gave 12 unique pages"
"O05","Official source","Read-versus-unread page labeling","PASS","F01-postdeploy","12 read and 82 unread distinguished"
"O06","Official source","Read full official HTML body","NOT_TESTED","COVERAGE-20260924","Metadata page only"
"O07","Official source","OCR scanned official PDF","NOT_TESTED","COVERAGE-20260924","No known scan used live"
"O08","Official source","Reopen saved source without AI","PASS","C03;E01","One retained source"
"O09","Official source","Pin exact quote and refresh count","PASS","F02-postdeploy","Two successive pins changed 3 to 4 to 5 and persisted"
"O10","Official source","Reject fabricated quote","PASS","C15","One invented quote rejected"
"O11","Official source","Search inside retained source","PASS","C16","Two matches on 12 saved pages"
"A01","Analysis","Answer from selected evidence","PASS","C05","One two-excerpt question; current legal effect unverified"
"A02","Analysis","Retained-source relevant passage selection","PASS","C06;F05-postdeploy","One 10-of-37 passage answer and provider usage recorded"
"A03","Analysis","Retained-source full mode","PASS","F05-postdeploy","One 15-of-15 passage run and usage recorded"
"A04","Analysis","Compare two evidence groups","NOT_TESTED","UI-20260925","No two-source comparison run"
"A05","Analysis","Obligations extraction","NOT_TESTED","UI-20260925","Control visible only"
"A06","Analysis","Legal timeline","NOT_TESTED","UI-20260925","Control visible only"
"A07","Analysis","Legal-effect analysis","NOT_TESTED","UI-20260925","No reviewed event path"
"A08","Analysis","Claim verification","NOT_TESTED","UI-20260925","Control visible only"
"A09","Analysis","Model comparison","NOT_TESTED","UI-20260925","No provider comparison run"
"D01","Documents","Upload Unicode TXT and extract clauses","PASS","C11","Five extracted units in one synthetic document"
"D02","Documents","ASCII heading extraction","PARTIAL","C12","One unit versus five with Vietnamese headings"
"D03","Documents","Upload PDF or DOCX","NOT_TESTED","COVERAGE-20260924","TXT only"
"D04","Documents","Original-file download integrity","NOT_TESTED","UI-20260925","Bytes not inspected"
"D05","Documents","Pin extracted clause","NOT_TESTED","COVERAGE-20260924","No pin run"
